timestamp;buyer;seller;symbol;currency;price;quantity
1247;;;INTARIAN_PEPPER_ROOT;XIRECS;29007.0;4
2140;;;INTARIAN_PEPPER_ROOT;XIRECS;29011.0;7
3117;;;INTARIAN_PEPPER_ROOT;XIRECS;28996.0;7
3975;;;ASH_COATED_OSMIUM;XIRECS;9998.0;9
7987;;;INTARIAN_PEPPER_ROOT;XIRECS;29020.0;4
8169;;;ASH_COATED_OSMIUM;XIRECS;10000.0;9
9520;;;ASH_COATED_OSMIUM;XIRECS;10015.0;7
9617;;;ASH_COATED_OSMIUM;XIRECS;10015.0;8
14708;;;INTARIAN_PEPPER_ROOT;XIRECS;29022.0;7
14845;;;ASH_COATED_OSMIUM;XIRECS;10017.0;4
15556;;;ASH_COATED_OSMIUM;XIRECS;10003.0;4
16236;;;ASH_COATED_OSMIUM;XIRECS;10017.0;6
17717;;;INTARIAN_PEPPER_ROOT;XIRECS;29013.0;3
27745;;;ASH_COATED_OSMIUM;XIRECS;9989.0;3
28765;;;ASH_COATED_OSMIUM;XIRECS;9995.0;7
35845;;;ASH_COATED_OSMIUM;XIRECS;10008.0;3
37451;;;ASH_COATED_OSMIUM;XIRECS;9999.0;3
38330;;;ASH_COATED_OSMIUM;XIRECS;10009.0;4
38560;;;ASH_COATED_OSMIUM;XIRECS;9998.0;3
39549;;;ASH_COATED_OSMIUM;XIRECS;9999.0;5
39567;;;ASH_COATED_OSMIUM;XIRECS;9999.0;3
39683;;;ASH_COATED_OSMIUM;XIRECS;9998.0;5
39795;;;ASH_COATED_OSMIUM;XIRECS;9994.0;8
50387;;;ASH_COATED_OSMIUM;XIRECS;10014.0;3
51036;;;ASH_COATED_OSMIUM;XIRECS;9993.0;4
51250;;;ASH_COATED_OSMIUM;XIRECS;9998.0;4
51604;;;ASH_COATED_OSMIUM;XIRECS;10010.0;5
54081;;;ASH_COATED_OSMIUM;XIRECS;9994.0;2
54819;;;ASH_COATED_OSMIUM;XIRECS;10017.0;3
55551;;;INTARIAN_PEPPER_ROOT;XIRECS;29066.0;3
55978;;;ASH_COATED_OSMIUM;XIRECS;10013.0;4
58553;;;INTARIAN_PEPPER_ROOT;XIRECS;29066.0;4
60692;;;ASH_COATED_OSMIUM;XIRECS;10010.0;6
61688;;;INTARIAN_PEPPER_ROOT;XIRECS;29070.0;4
61809;;;INTARIAN_PEPPER_ROOT;XIRECS;29053.0;6
65112;;;ASH_COATED_OSMIUM;XIRECS;10005.0;4
65514;;;INTARIAN_PEPPER_ROOT;XIRECS;29060.0;7
66643;;;ASH_COATED_OSMIUM;XIRECS;9998.0;3
